DISTRICT,B_1975,B_1990,B_2000,B_2014
Ahmadabad,200,227,262,336
Dhanbad,176,300,373,429
Thane,163,346,405,486
Mumbai Suburban,162,262,272,280
Barddhaman,160,265,386,692
Ludhiana,144,211,234,292
Bangalore,141,259,345,555
Nagpur,130,197,241,292
Ernakulam,120,238,258,371
Bokaro,102,176,194,248
Chandigarh,96,101,104,105
Vadodara,94,129,171,217
Alappuzha,93,158,181,224
Hugli,93,151,163,188
Kolkata,91,96,96,97
Kancheepuram,89,136,200,367
Dakshina Kannada,88,218,246,276
Patiala,86,100,115,122
Uttara Kannada,84,130,157,185
Jalandhar,82,95,118,194
Karimnagar,82,99,163,270
Kasaragod,70,155,188,205
Durg,69,98,116,149
East Godavari,69,189,239,360
South Goa,68,104,122,152
Amritsar,65,90,107,137
South,65,115,116,127
South,65,115,116,127
Udupi,65,142,161,180
Kota,64,112,149,198
Mumbai,62,71,72,74
Nashik,60,62,105,197
Ambala,58,65,79,84
Jaipur,58,144,253,388
North West,57,172,180,186
Raipur,56,107,179,302
Gautam Buddha Nagar,55,170,175,299
Lucknow,55,57,97,166
Kannur,54,130,158,200
Khammam,54,56,78,118
Yamunanagar,53,70,78,85
Vellore,52,63,104,150
Bhilwara,49,75,107,164
Faridabad,49,149,158,221
Pune,49,199,257,404
Krishna,48,147,192,269
West,48,105,109,110
West,48,105,109,110
Purbi Singhbhum,47,85,97,124
Coimbatore,45,140,167,240
East,45,65,65,70
East,45,65,65,70
Bhopal,44,62,101,128
Ghaziabad,44,129,143,167
Jalgaon,44,122,163,214
West Godavari,44,112,151,201
Karnal,43,57,87,107
Saharanpur,43,62,73,84
Kargil,41,43,44,45
Churu,40,62,81,104
Sundargarh,40,83,96,145
Data Not Available,39,55,64,79
Nagaur,38,98,149,192
Thiruvallur,38,107,147,224
Akola,37,48,63,85
Bareilly,37,48,67,81
Visakhapatnam,37,103,133,205
South West,36,91,134,141
Yavatmal,36,41,65,90
Adilabad,35,47,69,103
North,34,47,48,48
North,34,47,48,48
Rangareddy,34,211,380,619
Kozhikode,33,199,236,280
Leh (ladakh),33,42,45,49
Moradabad,33,47,57,70
Sahibzada Ajit Singh Nagar,33,41,61,77
Amravati,32,66,82,121
Chittoor,32,41,73,109
Porbandar,32,68,86,152
Imphal East,31,38,40,40
Indore,31,118,151,261
Jodhpur,31,109,146,217
Kheda,31,47,60,86
Korba,31,53,72,102
Panipat,30,72,95,118
Thiruvananthapuram,30,147,166,184
Varanasi,30,59,71,74
Wardha,30,33,46,65
Junagadh,29,60,75,110
Dehradun,28,59,75,93
Gwalior,28,61,68,81
Ramgarh,28,63,74,99
Hisar,27,38,45,54
Gandhinagar,26,42,56,91
Panchkula,26,32,39,46
Ranchi,26,49,59,88
Srinagar,26,51,53,55
Gulbarga,25,49,57,75
Meerut,25,63,67,79
Patna,25,61,79,92
Bathinda,24,33,44,64
Belgaum,24,60,94,142
Dhule,24,56,73,107
Gorakhpur,24,29,35,40
Kanpur Nagar,24,82,117,176
Sirsa,24,36,46,59
Jamnagar,23,102,151,235
Kollam,23,88,126,150
Salem,23,66,86,115
Sangrur,23,38,44,53
Tiruppur,23,92,126,190
Nainital,22,34,55,80
Badgam,21,41,45,50
Baramula,21,60,63,69
Buldana,21,37,53,69
Hardwar,21,39,44,69
Muzaffarnagar,21,37,41,52
